step,strain,p,p_over_p_eq
674,0.015,1.29855e+07,2.18268
675,0.015,1.29826e+07,2.18219
676,0.015,1.29797e+07,2.1817
677,0.015,1.29768e+07,2.18121
678,0.015,1.29739e+07,2.18073
679,0.015,1.2971e+07,2.18024
680,0.015,1.29681e+07,2.17976
681,0.015,1.29652e+07,2.17927
682,0.015,1.29624e+07,2.17879
683,0.015,1.29595e+07,2.17831
684,0.015,1.29566e+07,2.17783
685,0.015,1.29538e+07,2.17735
686,0.015,1.29509e+07,2.17687
687,0.015,1.29481e+07,2.17639
688,0.015,1.29452e+07,2.17591
689,0.015,1.29424e+07,2.17544
690,0.015,1.29396e+07,2.17496
691,0.015,1.29368e+07,2.17449
692,0.015,1.29339e+07,2.17401
693,0.015,1.29311e+07,2.17354
694,0.015,1.29283e+07,2.17307
695,0.015,1.29255e+07,2.1726
696,0.015,1.29227e+07,2.17213
697,0.015,1.29199e+07,2.17166
698,0.015,1.29171e+07,2.17119
699,0.015,1.29143e+07,2.17072
700,0.015,1.29115e+07,2.17025
701,0.015,1.29088e+07,2.16978
702,0.015,1.2906e+07,2.16932
703,0.015,1.29032e+07,2.16885
704,0.015,1.29005e+07,2.16839
705,0.015,1.28977e+07,2.16793
706,0.015,1.2895e+07,2.16746
707,0.015,1.28922e+07,2.167
708,0.015,1.28895e+07,2.16654
709,0.015,1.28867e+07,2.16608
710,0.015,1.2884e+07,2.16562
711,0.015,1.28813e+07,2.16516
712,0.015,1.28785e+07,2.1647
713,0.015,1.28758e+07,2.16425
714,0.015,1.28731e+07,2.16379
715,0.015,1.28704e+07,2.16333
716,0.015,1.28677e+07,2.16288
717,0.015,1.2865e+07,2.16243
718,0.015,1.28623e+07,2.16197
719,0.015,1.28596e+07,2.16152
720,0.015,1.28569e+07,2.16107
721,0.015,1.28542e+07,2.16062
722,0.015,1.28515e+07,2.16017
723,0.015,1.28489e+07,2.15972
724,0.015,1.28462e+07,2.15927
725,0.015,1.28435e+07,2.15882
726,0.015,1.28409e+07,2.15837
727,0.015,1.28382e+07,2.15793
